id,neighbourhood,neighbourhood_cleansed,smart_location,property_type,room_type,Side,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
4826,Üsküdar,Uskudar,"Istanbul Province, Turkey",Apartment,Entire home/apt,Asian,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0,713.0
28277,Şişli,Sisli,"Istanbul, Turkey",Serviced apartment,Hotel room,European,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
28318,Beşiktaş,Sariyer,"İstanbul, Turkey",Apartment,Entire home/apt,European,849.0,849.0,849.0,849.0,849.0,849.0,849.0,849.0,849.0,849.0,849.0,849.0
29241,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0
29692,,Sariyer,"Istanbul, Turkey",Apartment,Private room,European,417.0,417.0,417.0,417.0,417.0,810.5,417.0,417.0,417.0,417.0,417.0,417.0
30697,Beyoglu,Beyoglu,"Istanbul Province, Turkey",Apartment,Private room,European,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0,746.0
-32168,Şişli,Sisli,"Istanbul Province, Turkey",Apartment,Private room,European,396.2,393.5,391.2,394.5,393.8,392.0,393.8,393.8,392.0,396.2,392.0,391.2
-30611,Karaköy,Beyoglu,"Istanbul Province, Turkey",Apartment,Private room,European,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0
-29598,Beşiktaş,Besiktas,"Istanbul Province, Turkey",Apartment,Private room,European,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0
-23783,Beyoglu,Beyoglu,"Galata Beyoglu Tophane, Turkey",Apartment,Entire home/apt,European,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
-21107,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0
-18272,Beşiktaş,Besiktas,"Istanbul, Turkey",Apartment,Entire home/apt,European,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0
-18159,Taksim,Beyoglu,"Beyoğlu, Turkey",Apartment,Private room,European,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0
-17190,Üsküdar,Uskudar,"Istanbul, Turkey",Apartment,Entire home/apt,Asian,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0
-15581,Fatih,Fatih,"Istanbul Province, Turkey",Apartment,Private room,European,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
-12708,Beyoglu,Beyoglu,"İstanbul Galata Beyoglu Tophane, Turkey",Apartment,Entire home/apt,European,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
-4613,Şişli,Sisli,"Istanbul, Turkey",Apartment,Entire home/apt,European,150.0,150.0,170.5,205.0,178.2,136.0,136.0,136.0,136.0,145.0,150.0,150.0
-3364,Cihangir,Beyoglu,"Beyoğlu, Turkey",Apartment,Private room,European,597.0,597.0,597.0,597.0,597.0,597.0,597.0,597.0,597.0,597.0,597.0,597.0
-2719,Taksim,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
11654,Taksim,Beyoglu,"İstanbul, Turkey",Apartment,Entire home/apt,European,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0
11756,Taksim,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0
21488,Şişli,Sisli,"Şişli, Turkey",House,Entire home/apt,European,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0
22021,Şişli,Sisli,"Istanbul, Turkey",Serviced apartment,Entire home/apt,European,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,532.0
23413,Cihangir,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0
32264,Karaköy,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0
-29675,Cihangir,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0
-22908,Beşiktaş,Besiktas,"İstanbul, Turkey",Apartment,Private room,European,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0,577.0
-22535,Cihangir,Beyoglu,"Beyoğlu, Turkey",Apartment,Entire home/apt,European,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0
-16286,Fatih,Fatih,"Istanbul, Turkey",Apartment,Entire home/apt,European,664.0,664.0,664.0,664.0,661.5,664.0,664.0,664.0,664.0,664.0,664.0,664.0
-6935,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,410.0,410.0,410.0,410.0,338.0,224.0,370.0,392.0,390.0,365.0,365.0,365.0
-6925,Beyoglu,Beyoglu,"İstanbul, Turkey",Apartment,Private room,European,231.0,231.0,231.0,231.0,210.9,179.0,197.1,218.8,218.4,197.9,220.0,231.0
-3160,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
-847,Kadıköy,Kadikoy,"Istanbul, Turkey",Apartment,Private room,Asian,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0
-841,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,284.0,284.0,284.0,284.0,264.8,236.2,243.8,234.0,234.0,234.0,261.0,284.0
2076,Beyoglu,Kagithane,"Istanbul, Turkey",Apartment,Entire home/apt,European,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0,1018.0
5746,Kadıköy,Kadikoy,"Istanbul, Turkey",Apartment,Private room,Asian,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0
7322,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0,819.0
8279,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0
8732,Kadıköy,Kadikoy,"Istanbul, Turkey",Apartment,Entire home/apt,Asian,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0,339.0
9197,Taksim,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0
15782,Şişli,Sisli,"Istanbul, Turkey",Apartment,Private room,European,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0,407.0
27389,,Adalar,"Büyükada, Turkey",House,Private room,Asian,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0,679.0
27546,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0
29737,Cihangir,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0,409.0
32713,,Sariyer,"Sarıyer, Turkey",Loft,Private room,European,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0
-32392,Taksim,Beyoglu,"Taksim, Turkey",Apartment,Entire home/apt,European,794.5,800.0,806.0,917.0,836.5,709.0,709.0,709.0,709.0,709.5,749.5,784.5
-30343,Taksim,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,437.8,291.0,291.0,291.0,368.8,593.5,627.0,627.0,627.0,627.0,616.0,467.2
-28204,Beyoglu,Beyoglu,"Istanbul Beyoğlu Taksim, Turkey",Apartment,Entire home/apt,European,665.0,665.0,665.0,665.0,693.5,709.0,665.0,665.0,665.0,665.0,665.0,665.0
-27502,,Maltepe,"Istanbul, Turkey",Apartment,Entire home/apt,Asian,693.5,703.5,711.0,699.5,702.0,708.5,702.0,702.0,708.5,693.5,708.5,711.0
-20842,Şişli,Sisli,"Istanbul, Turkey",Apartment,Private room,European,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
-17740,Beyoglu,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0
1383,Üsküdar,Uskudar,"Istanbul, Turkey",Apartment,Private room,Asian,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0,179.0
2460,,Esenyurt,"Istanbul, Turkey",Apartment,Private room,European,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0,633.0
2803,Karaköy,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,409.0,409.0,409.0,409.0,565.5,409.0,409.0,409.0,409.0,409.0,409.0,409.0
11325,Taksim,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,235.0,235.0,235.0,235.0,245.1,261.0,250.1,235.0,235.0,235.0,235.0,235.0
13888,,Beykoz,"Istanbul, Turkey",Boat,Private room,Asian,2906.0,2906.0,2906.0,2906.0,2818.0,2902.0,2906.0,2906.0,2906.0,2906.0,2906.0,2906.0
17208,Kadıköy,Kadikoy,"İstanbul, Turkey",Apartment,Entire home/apt,Asian,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0
17582,Cihangir,Beyoglu,"Istanbul, Turkey",Apartment,Private room,European,166.1,164.2,162.9,165.0,164.5,163.4,164.5,164.5,163.4,166.1,163.4,162.9
23541,Karaköy,Beyoglu,"İstanbul Galata Beyoglu, Turkey",Apartment,Entire home/apt,European,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
25927,Üsküdar,Uskudar,"Istanbul, Turkey",Apartment,Entire home/apt,Asian,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0
28004,Şişli,Sisli,"Istanbul, Turkey",Apartment,Private room,European,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0
28302,,Basaksehir,"Istanbul, Turkey",Apartment,Entire home/apt,European,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0,744.0
29647,Beyoglu,Beyoglu,"İstanbul Galata Beyoglu Tophane , Turkey",Apartment,Entire home/apt,European,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0,738.0
30905,Fatih,Fatih,"Fatih, Turkey",Hotel,Private room,European,336.0,336.0,336.0,336.0,408.0,522.0,522.0,522.0,522.0,522.0,336.0,336.0
-32646,Cihangir,Beyoglu,"Istanbul, Turkey",Apartment,Entire home/apt,European,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0
